author,desc,rating,reviews,title,totalratings,New_genre,Business,Classics,Comics,Contemporary,Crime,Fantasy,Fiction,History,Horror,Humor,Manga,Mystery,Nonfiction,Philosophy,Poetry,Psychology,Religion,Romance,Science,Suspense,Thriller
Lee Child,"From a helicopter high above the empty California desert, a man is sent free-falling into the nightâ€¦. In Chicago, a woman learns that an elite team of exâ€“army investigators is being hunted down one by one.... And on the streets of Portland, Jack Reacherâ€”soldier, cop, heroâ€”is pulled out of his wandering life by a code that few other people could understand. From the first shocking scenes in Lee Childâ€™s explosive new novel, Jack Reacher is plunged like a knife into the heart of a conspiracy that is killing old friendsâ€¦and is on its way to something even worse.,A decade postmilitary, Reacher has an ATM card and the clothes on his backâ€”no phone, no ties, and no address. But now a woman from his old unit has done the impossible. From Chicago, Frances Neagley finds Reacher, using a signal only the eight members of their elite team of army investigators would know. She tells him a terrifying storyâ€”about the brutal death of a man they both served with. Soon Reacher is reuniting with the survivors of his old team, scrambling to raise the living, bury the dead, and connect the dots in a mystery that is growing darker by the day. The deeper they dig, the more they donâ€™ t know: about two other comrades who have suddenly gone missingâ€”and a trail that leads into the neon of Vegas and the darkness of international terrorism.,For now, Reacher can only react. To every sound. Every suspicion. Every scent and every moment. Then Reacher will trust the people he once trusted with his lifeâ€”and take this thing all the way to the end. Because in a world of bad luck and trouble, when someone targets Jack Reacher and his team, theyâ€™d better be ready for what comes right back at themâ€¦",4.18,2992,Bad Luck and Trouble,75782,Thriller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Rebecca Rule,"Hilarious New Hampshire storyteller Rebecca Rule performs in every nook and cranny of the state, so you can bet she knows how to speak and understand the local language. In Headin' for the Rhubarb, she shares that knowledge to help visitors, transplants, and natives alike make sense of the state's unique vernacular and pronunciations. And she has a good time doing it!",4.08,3,"Headin' for the Rhubarb!: A New Hampshire Dictionary (Well, Kinda)",12,Humor,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Almeida Garrett,"""Pretendo suprir uma grande falta na nossa literatura com o trabalho que intentei nesta colecÃ§Ã£o. NÃ£o quero compor uma obra erudita para me colocar entre os filÃ³logos e antiquÃ¡rios, e pÃ´r mais um volume na estante de seus gabinetes. Desejo fazer uma coisa Ãºtil, um livro popular; e para que o seja, tornÃ¡-lo agradÃ¡vel quanto eu saiba e possa. As academias que elaborem dissertaÃ§Ãµes cronolÃ³gicas e crÃ­ticas para uso dos sÃ¡bios. O meu ofÃ­cio Ã© outro: Ã© popularizar o estudo da nossa literatura primitiva, dos seus documentos mais antigos e mais originais, para dirigir a revoluÃ§Ã£o literÃ¡ria que se declarou no paÃ­s, mostrando aos novos engenhos que estÃ£o em suas fileiras, os tipos verdadeiros da nacionalidade que procuram, e que em nÃ³s mesmos, nÃ£o entre os modelos estrangeiros, se devem encontrar."" ,(Almeida Garrett)",3.81,4,Romanceiro,31,Poetry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Lena Diaz,"Four years ago, Amanda Stockton was forced to play a serial killerâ€™s twisted game of chance. Since then, she has retreated from the world, bearing the scar from her ordeal and the burden of a terrible secret. But when another woman is found dead, clutching a long-stemmed red rose, Amanda knows she can hide no longer.,If there were any other way, Chief Logan Richards would never ask the only surviving victim for help. But itâ€™s clear this killer will not be stopped and Amanda is the only link. Torn between catching a madman and winning the trust of the woman heâ€™s come to love, Logan is caught in a dangerous game with Amanda. And thereâ€™s no guarantee theyâ€™ll come out on top.",4.02,104,"He Kills Me, He Kills Me Not",866,Suspense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Andrew G. Bostom,"This comprehensive, meticulously documented collection of scholarly articles presents indisputable evidence that a readily discernible, uniquely Islamic antisemitism-a specific Muslim hatred of Jews-has been expressed continuously since the advent of Islam. Debunking the conventional wisdom, which continues to assert that Muslim animosity toward Jews is entirely a 20th-century phenomenon fueled mainly by the protracted Arab-Israeli conflict, leading scholars provide example after example of antisemitic motifs in Muslim documents reaching back to the beginnings of Islam. The contributors show that the Koran itself is a significant source of hostility toward Jews, as well as other foundational Muslim texts including the hadith (the words and deeds of Muhammad as recorded by pious Muslim transmitters) and the sira (the earliest Muslim biographies of Muhammad). Many other examples are adduced in the writings of influential Muslim jurists, theologians, and scholars, from the Middle Ages through the contemporary era. These primary sources, and seminal secondary analyses translated here for the first time into English - such as Hartwig Hirschfeld's mid-1880s essays on Muhammad's subjugation of the Jews of Medina and George Vajda's elegant, comprehensive 1937 study of the hadith - detail the sacralized rationale for Islam's anti-Jewish bigotry. Numerous complementary historical accounts illustrate the resulting plight of Jewish communities in the Muslim world across space and time, culminating in the genocidal threat posed to the Jews of Israel today.",4.35,3,The Legacy of Islamic Antisemitism: From Sacred Texts to Solemn History,17,Religion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Robert Burnham Jr.,"The three volume ""Burnham's Celestial Handbook"" series provides a constellation based, detailed and comprehensive guide to tens of thousands of celestial objects outside our solar system. The information presented includes: definitions, names, historical background, coordinates, classifications, physical descriptions, maps, charts, sketches, and observing guides. All told in an engaging manner.,The series became an instant success with amateur astronomers, and remained so for decades. While it is now dated, it is still a popular source of information.,Volume Three lists the constellations from Pavo to Vulpecula.",4.41,3,"Burnham's Celestial Handbook: An Observer's Guide to the Universe Beyond the Solar System, Volume 3: Pavo Through Vulpecula",108,Science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
John Maeda,"Lessons for a new generation of leaders on teamwork, meetings, conversations, free food, social media, apologizing, and other topics.,When designer and computer scientist John Maeda was tapped to be president of the celebrated Rhode Island School of Design in 2008, he had to learn how to be a leader quickly. He had to transform himself from a tenured professor--with a love of argument for argument's sake and the freedom to experiment--into the head of a hierarchical organization. The professor is free to speak his mind against ""the man."" The college president is ""the man."" Maeda has had to teach himself, through trial and error, about leadership. In ,Redesigning Leadership,, he shares his learning process.,Maeda, writing as an artist and designer, a technologist, and a professor, discusses intuition and risk-taking, ""transparency,"" and all the things that a conversation can do that an email can't. In his transition from MIT to RISD he finds that the most effective way to pull people together is not social networking but free food. Leading a team? The best way for a leader to leverage the collective power of a team is to reveal his or her own humanity.,Asked if he has stopped designing, Maeda replied (via Twitter) ""I'm designing how to talk about/with/for our #RISD community."" Maeda's creative nature makes him a different sort of leader--one who prizes experimentation, honest critique, and learning as you go. With ,Redesigning Leadership,, he uses his experience to reveal a new model of leadership for the next generation of leaders.",3.82,39,Redesigning Leadership,516,Business,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown Author 413,,3.67,1,Unknown Book 10254514,3,Manga,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Sebastian Fitzek,"Dr. Suker ist einer der besten Augenchirurgen der Welt. Und Psychopath. TagsÃ¼ber fÃ¼hrt er die kompliziertesten Operationen am menschlichen Auge durch. Nachts widmet er sich besonderen Patientinnen: Frauen, denen er im wahrsten Sinne des Wortes die Augen Ã¶ffnet. Denn bevor er sie vergewaltigt, entfernt er ihnen sorgfÃ¤ltig die Augenlider. Bisher haben alle Opfer kurz danach Selbstmord begangen.,Aus Mangel an Zeugen und Beweisen bittet die Polizei Alina Gregoriev um Mithilfe. Die blinde Physiotherapeutin, die seit dem Fall des Augensammlers als Medium gilt, soll Hinweise auf Sukers nÃ¤chste â€žPatientinâ€œ geben. ZÃ¶gernd lÃ¤sst sich Alina darauf ein - und wird von dieser Sekunde an in einen Strudel aus Wahn und Gewalt gerissen...",4.18,203,Der AugenjÃ¤ger,4030,Thriller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Laura Kasischke,"Laura Kasischke's poems have the same haunting qualities and truth as our most potent memories and dreams. Through ghostly voices, fragmented narratives, overheard conversations, songs, and prayers in language reminiscent of medieval lyrics converted into contemporary idiom, the poems in ,Space, In Chains ,create a visceral strangeness true to its own music.,So we found ourselves in an ancient place, the very,air around us bound by chains. There was,stagnant water in which lightning,was reflected, like desperation,in a dying eye. Like science. Like,a dull rock plummeting through space, tossing,off flowers and veils, like a bride. And,also the subway.,Speed under ground.,And the way each body in the room appeared to be,a jar of wasps and flies that dayâ€”but, enchanted,,like frightened children's laughter.",4.06,68,"Space, in Chains",634,Poetry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Mike  Bender,Doug Chernack","The authors of the ,New York Times bestseller Awkward Family Photos, are back with a hilarious tribute to the unbreakable and sometimes uncomfortable bond between people and their pets.,There are few things more rewarding than having a pet. They love us unconditionally, shower us with attention, and because of them, we actually live longer. So, what can possibly be awkward about our animal BFFs? Well . . . nothing. In fact, weâ€™re the awkward ones. We adore our pets, but letâ€™s face itâ€”sometimes L-O-V-E makes us go a little overboard. Like giving them middle names, throwing them elaborate birthday parties, and making them a Christmas sweater to match with the rest of the family. Truth is, what they cherish most is our companionship. And maybe thatâ€™s the reason we care about them so muchâ€”because for such simple pleasures, they allow us to be as awkward as we want.",3.72,118,Awkward Family Pet Photos,1034,Humor,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Maggie Nelson,"Jane tells the spectral story of the life and death of Maggie Nelsonâ€™s aunt Jane, who was murdered in 1969 while a first-year law student at the University of Michigan. Though officially unsolved, Janeâ€™s murder was apparently the third in a series of seven brutal rape-murders in the area. Nelson was born a few years after Janeâ€™s death, and the narrative is suffused with the long shadow her murder cast over both the family and her psyche.,Jane explores the nature of this haunting incident via a collage of poetry, prose, and documentary sources, including newspapers, related ""true crime"" books, and fragments from Janeâ€™s own diaries written. Each piece in Jane has its own form that serves as an important fissure, disrupting the tabloid, ""page-turner"" quality of the story, and eventually returning the reader to deeper questions about girlhood, empathy, identification, and the essentially unknowable aspects of anotherâ€™s life and death. Part elegy, part memoir, detective story, part meditation on violence, and part conversation between the living and the dead, Janeâ€™s powerful and disturbing subject matter, combined with its innovations in genre, expands the notion of what poetry can doâ€”what kind of stories it can tell, and how it can tell them.",4.33,302,Jane: A Murder,3249,Poetry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Campos de Carvalho,"No verÃ£o de 1958, enquanto visitava tranqÃ¼ilamente o Museu HistÃ³rico e GeogrÃ¡fico de FiladÃ©lfia, um cidadÃ£o chamado HilÃ¡rio avistou um pÃºcaro bÃºlgaro. EspantadÃ­ssimo, embarcou â€“ ao lado de Pernacchio, RadamÃ©s, Expedito e Ivo Que Viu a Uva â€“ numa jornada Ã  BulgÃ¡ria, a fim de comprovar a (in)existÃªncia desse paÃ­s. â€œDo que se passou e sobretudo do que nÃ£o se passou nessa expediÃ§Ã£o jÃ¡ famosa Ã© o relato que se vai ler em seguidaâ€, explica o narrador, â€œo mais pormenorizado e o mais honesto possÃ­vel, embora tenha sido reduzido ao mÃ­nimo para que pudesse caber num sÃ³ volume e mesmo num sÃ³ sÃ©culo â€“ o que afinal se conseguiu.â€,O PÃºcaro BÃºlgaro Ã© um romance surrealista e o Ãºltimo livro de Campos de Carvalho, lanÃ§ado em 1964. Pode ser tomado como a sÃ­ntese de sua obra absolutamente original e idiossincrÃ¡tica. O livro possui 110 pÃ¡ginas.,A narrativa Ã© um exercÃ­cio â€“ e tambÃ©m uma aula â€“ de humor e escrita, com doses de surrealismo e um texto formado por relatos que beiram a esquizofrenia e parecem nÃ£o levar a lugar nenhum, mas acabam por formar uma obra â€œfluente em sua descontinuidadeâ€.",4.17,3,O pÃºcaro bÃºlgaro,60,Humor,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Don Lattin,"In the tradition of Jon Krakauer's ,Under the Banner of Heaven,, Don Lattin's ,Jesus Freaks, is the story of a shocking pilgrimage of revenge that left two people dead and shed new light on The Family International, one of the most controversial religious movements to emerge from the spiritual turmoil of the sixties and seventies.,Some say The Family Internationalâ€”previously known as the Children of Godâ€”began with the best intentions. But their sexual and spiritual excesses soon forced them to go underground and follow a dark and dangerous path. Their charismatic leader, David ""Moses"" Berg, preached a radical critique of the piety and hypocrisy of mainstream Christianity. But Berg's message quickly devolved into its own web of lies. He lusted for power and unlimited access to female members of his flockâ€”including young girls and teenagersâ€”and became a drunken tyrant, setting up re-indoctrination camps around the world for rebellious teenagers under his control.,Thousands of children raised in The Family would defect and try to live normal lives, but the prophet's heir apparent, Ricky ""Davidito"" Rodriguez, was unable to either bear the excesses of the cult or fit into normal society. Sexually and emotionally abused as a child, Ricky left the fold and began a crusade to destroy the only family he ever knew, including a plot to kill his own mother.,Veteran journalist Don Lattin has written a powerful, engrossing book about this uniquely American tragedy. ,Jesus Freaks, is a cautionary tale for those who fail to question the prophesies and proclamations of anyone who claims to speak for God.",3.34,105,Jesus Freaks: A True Story of Murder and Madness on the Evangelical Edge,641,Crime,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aoi Futaba-è‘µ äºŒè‘‰,Kurenai Mitsuba",It all started with a promise of unimagined ecstasy. Now Mizuki and Kazuomi explore their passions in deeper and more exotic ways as they pursue their interests with enthusiasm and love.,3.79,0,Level C Volume 3,48,Manga,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Hong Ying,Nicky Harman,Henry Zhao","Set in 1930s China, this is a true but tragic tale of romance, sexual desire, and untimely death. Beautiful, intelligent, and schooled in the Daoist arts of love, Lin is married to a provincial university professor. Julian Bell, son of Vanessa Bell, and darling of the Bloomsbury set, has arrived in China, hungry for experience. Their mutual attraction leads to a passionate phy-sical and spiritual sojourn in Beijing. Unable to realize their love in a society divided by cultural conflict and the threat of war, they eventually part: Julian to fight for the Loyalists in Spain and Lin to contemplate suicide in her husbandâ€™s house.",3.19,38,K: The Art of Love,419,Fiction,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ronie Kendig,"A 2012 Christy Award Winner.,Â  Embark upon a danger-laden mission within the pages of Ronie Kendigâ€™s riveting ,Wolfsbane,. Demolitions expert Danielle Roark thought escaping from a brutal Venezuelan general was a challenge. Now sheâ€™s charged with espionage and returned to the jungle where a new nightmare begins. Will Dani survive or become just another political pawn destined to be lost forever? Former Green Beret Canyon Metcalfe is disgusted with the suits on Capitol Hill. Still wrestling with the memories of a mission gone bad, he and Nightshade launch a mission to find Dani. Can Canyon rescue Dani, armed with nothing but raw courage?",4.44,118,Wolfsbane,1054,Suspense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Nick Mamatas,"Hard-Hitting Insults for Every Occasion,Including, Â Â  Â  â€¢ Â Insulting Someoneâ€™s Intelligence, Â Â  Â  â€¢ Â Insulting Someoneâ€™s Sexual Prowess, Â Â  Â  â€¢ Â Insults for the Office, Â Â  Â  â€¢ Â Insults on Game Day,Â Â  Â  â€¢ Â Insults throughout History,Â Â  Â  â€¢ Â Insults from around the World,Plus insulting gestures, backhanded compliments, comebacks, all the things you should never say about someone's mama, and much more!",3.5,12,Insults Every Man Should Know,122,Humor,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Aaron T. Beck,Cory F. Newman,Fred D. Wright,Bruce S. Liese","Cognitive therapy offers a well-documented and cost-effective psychosocial treatment model for working with substance abuse disorders. Comprehensive and accessible, this volume clearly details the cognitive model of addiction, the specifics of case formulation, management of the therapeutic relationship, and the structure of the therapy sessions. It discusses how to educate patients in the treatment model and procedures and manage their cravings and urges for drugs and alcohol. Specific cognitive and behavioral strategies and techniques are described in detail, as are methods for understanding and working with patients who present concomitant problems of depression, anxiety, low frustration tolerance, anger, and personality disorders. Also addressed are such significant issues as crisis management and relapse prevention. Enhancing the utility of the volume are appendices featuring sample client inventories and checklists. These forms are designed to help the clinician identify targets for intervention, track progress over time, and develop an individualized relapse prevention plan for each client. ",4.19,4,Cognitive Therapy of Substance Abuse,80,Psychology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
